INFO:
[rtm]
Execution completed successfully.
INFO:
List of objects imported:
Type,Name,Source Project,Target Project,Source Path,Target Path,Resolution,Renamed To
Folder,oie_export,CLU_PROJECT,CLU_PROJECT,/,/,,
Relational Data Object,ALL_DQ_Mapping,CLU_PROJECT,CLU_PROJECT,/oie_export,/oie_export,,
Content Set,Probablilistic_models1,CLU_PROJECT,CLU_PROJECT,/oie_export,/oie_export,,
Content Set,DQ_content,CLU_PROJECT,CLU_PROJECT,/oie_export,/oie_export,,
Mapping,ALL_DQ_Mapping,CLU_PROJECT,CLU_PROJECT,/oie_export,/oie_export,,
Relational Data Object,ALL_DQ_Mapping_ISSUE,CLU_PROJECT,CLU_PROJECT,/oie_export,/oie_export,,
Rule,MatchMapplet,CLU_PROJECT,CLU_PROJECT,/oie_export,/oie_export,,
Reference Table,PP_RT_1,CLU_PROJECT,CLU_PROJECT,/oie_export,/oie_export,,
Reference Table,CC_RTM,CLU_PROJECT,CLU_PROJECT,/oie_export,/oie_export,,
Flat File Data Object,ALL_SOURCE_DQ,CLU_PROJECT,CLU_PROJECT,/oie_export,/oie_export,,
Flat File Data Object,ASSOCIATION_TARGET_DQ,CLU_PROJECT,CLU_PROJECT,/oie_export,/oie_export,,
Reference Table,TP_RTM,CLU_PROJECT,CLU_PROJECT,/oie_export,/oie_export,,
Flat File Data Object,ALL_TARGET_DQ,CLU_PROJECT,CLU_PROJECT,/oie_export,/oie_export,,
Flat File Data Object,MATCH_TARGET_DQ,CLU_PROJECT,CLU_PROJECT,/oie_export,/oie_export,,
Reference Table,TL_RTM,CLU_PROJECT,CLU_PROJECT,/oie_export,/oie_export,,
Reference Table,TS_RTM,CLU_PROJECT,CLU_PROJECT,/oie_export,/oie_export,,
Flat File Data Object,AV_IMO_TARGET_DQ,CLU_PROJECT,CLU_PROJECT,/oie_export,/oie_export,,
Flat File Data Object,AV_Consolidation_DQ,CLU_PROJECT,CLU_PROJECT,/oie_export,/oie_export,,
Flat File Data Object,Exception_Target,CLU_PROJECT,CLU_PROJECT,/oie_export,/oie_export,,
Flat File Data Object,AV_Target_DQ_New,CLU_PROJECT,CLU_PROJECT,/oie_export,/oie_export,,
Folder,cms_purge,CLU_PROJECT,CLU_PROJECT,/,/,,
Reference Table,DELETE_THIS_RT_1,CLU_PROJECT,CLU_PROJECT,/cms_purge,/cms_purge,,
Reference Table,DELETE_THIS_RT_2,CLU_PROJECT,CLU_PROJECT,/cms_purge,/cms_purge,,
Reference Table,DELETE_THIS_RT_3,CLU_PROJECT,CLU_PROJECT,/cms_purge,/cms_purge,,
Folder,RTM_IMPORT,CLU_PROJECT,CLU_PROJECT,/,/,,
Flat File Data Object,ALL_SOURCE_DQ,CLU_PROJECT,CLU_PROJECT,/RTM_IMPORT,/RTM_IMPORT,,
Folder,oie_import,CLU_PROJECT,CLU_PROJECT,/,/,,
Flat File Data Object,ALL_SOURCE_DQ,CLU_PROJECT,CLU_PROJECT,/oie_import,/oie_import,,
Folder,RTM_EXPORT,CLU_PROJECT,CLU_PROJECT,/,/,,
Reference Table,PP_RT_1,CLU_PROJECT,CLU_PROJECT,/RTM_EXPORT,/RTM_EXPORT,,
Reference Table,TS_RTM,CLU_PROJECT,CLU_PROJECT,/RTM_EXPORT,/RTM_EXPORT,,
Reference Table,CC_RTM,CLU_PROJECT,CLU_PROJECT,/RTM_EXPORT,/RTM_EXPORT,,
Reference Table,TL_RTM,CLU_PROJECT,CLU_PROJECT,/RTM_EXPORT,/RTM_EXPORT,,
Reference Table,TP_RTM,CLU_PROJECT,CLU_PROJECT,/RTM_EXPORT,/RTM_EXPORT,,
Folder,cms_purge4,CLU_PROJECT,CLU_PROJECT,/,/,,
Reference Table,TP_RTM8,CLU_PROJECT,CLU_PROJECT,/cms_purge4,/cms_purge4,,
Reference Table,PP_RT_9,CLU_PROJECT,CLU_PROJECT,/cms_purge4,/cms_purge4,,
Reference Table,CC_RTM11,CLU_PROJECT,CLU_PROJECT,/cms_purge4,/cms_purge4,,
Reference Table,CC_RTM8,CLU_PROJECT,CLU_PROJECT,/cms_purge4,/cms_purge4,,
Reference Table,PP_RT_4,CLU_PROJECT,CLU_PROJECT,/cms_purge4,/cms_purge4,,
Reference Table,CC_RTM4,CLU_PROJECT,CLU_PROJECT,/cms_purge4,/cms_purge4,,
Reference Table,TP_RTM3,CLU_PROJECT,CLU_PROJECT,/cms_purge4,/cms_purge4,,
Reference Table,PP_RT_3,CLU_PROJECT,CLU_PROJECT,/cms_purge4,/cms_purge4,,
Reference Table,TP_RTM10,CLU_PROJECT,CLU_PROJECT,/cms_purge4,/cms_purge4,,
Reference Table,TP_RTM,CLU_PROJECT,CLU_PROJECT,/cms_purge4,/cms_purge4,,
Reference Table,TS_RTM10,CLU_PROJECT,CLU_PROJECT,/cms_purge4,/cms_purge4,,
Reference Table,PP_RT_7,CLU_PROJECT,CLU_PROJECT,/cms_purge4,/cms_purge4,,
Reference Table,CC_RTM9,CLU_PROJECT,CLU_PROJECT,/cms_purge4,/cms_purge4,,
Reference Table,TL_RTM11,CLU_PROJECT,CLU_PROJECT,/cms_purge4,/cms_purge4,,
Reference Table,TS_RTM9,CLU_PROJECT,CLU_PROJECT,/cms_purge4,/cms_purge4,,
